Date,XU100.IS,XU100
2015-12-16,728.3141479492188,
2015-12-17,737.1151123046875,
2015-12-18,724.6001586914062,
2015-12-21,733.278076171875,
2015-12-22,731.01708984375,
2015-12-23,740.445068359375,
2015-12-24,740.5001220703125,
2015-12-25,741.89111328125,
2015-12-28,742.4280395507812,
2015-12-29,739.1220703125,
2015-12-30,732.0031127929688,
2015-12-31,717.2662353515625,
2016-01-04,705.1802978515625,
2016-01-05,706.8772583007812,
2016-01-06,711.9752197265625,
2016-01-07,714.9552001953125,
2016-01-08,706.1282958984375,
2016-01-11,710.4862060546875,
2016-01-12,717.4002075195312,
2016-01-13,725.0831298828125,
2016-01-14,719.4021606445312,
2016-01-15,710.6162109375,
2016-01-18,710.3931884765625,
2016-01-19,710.7282104492188,
2016-01-20,696.0363159179688,
2016-01-21,685.6753540039062,
2016-01-22,702.435302734375,
2016-01-25,705.3862915039062,
2016-01-26,718.085205078125,
2016-01-27,720.525146484375,
2016-01-28,724.2701416015625,
2016-01-29,734.8070678710938,
2016-02-01,734.4730834960938,
2016-02-02,725.0581665039062,
2016-02-03,732.6701049804688,
2016-02-04,745.050048828125,
2016-02-05,742.0310668945312,
2016-02-08,720.0481567382812,
2016-02-09,714.148193359375,
2016-02-10,716.1382446289062,
2016-02-11,709.4132080078125,
2016-02-12,709.3702392578125,
2016-02-15,710.0772094726562,
2016-02-16,709.4882202148438,
2016-02-17,728.0471801757812,
2016-02-18,734.4611206054688,
2016-02-19,730.150146484375,
2016-02-22,748.93505859375,
2016-02-23,754.9939575195312,
2016-02-24,740.6680908203125,
2016-02-25,752.0150146484375,
2016-02-26,749.2860107421875,
2016-02-29,758.1399536132812,
2016-03-01,759.5499877929688,
2016-03-02,767.8759155273438,
2016-03-03,768.2789306640625,
2016-03-04,771.9069213867188,
2016-03-07,774.8348999023438,
2016-03-08,776.8248291015625,
2016-03-09,787.3778686523438,
2016-03-10,790.2427978515625,
2016-03-11,793.7977905273438,
2016-03-14,801.104736328125,
2016-03-15,790.3067626953125,
2016-03-16,793.6878051757812,
2016-03-17,813.7666625976562,
2016-03-18,829.4296264648438,
2016-03-21,834.0225830078125,
2016-03-22,817.6566772460938,
2016-03-23,803.8327026367188,
2016-03-24,813.5796508789062,
2016-03-25,813.5606689453125,
2016-03-28,813.441650390625,
2016-03-29,817.3316650390625,
2016-03-30,829.173583984375,
2016-03-31,832.6755981445312,
2016-04-01,823.589599609375,
2016-04-04,838.7245483398438,
2016-04-05,829.6365966796875,
2016-04-06,815.108642578125,
2016-04-07,811.6426391601562,
2016-04-08,825.0166015625,
2016-04-11,839.8705444335938,
2016-04-12,837.1935424804688,
2016-04-13,856.9624633789062,
2016-04-14,857.8453979492188,
2016-04-15,855.7284545898438,
2016-04-18,863.4324340820312,
2016-04-19,862.5054321289062,
2016-04-20,855.4974975585938,
2016-04-21,856.7034912109375,
2016-04-22,858.2824096679688,
2016-04-25,851.0894775390625,
2016-04-26,857.5594482421875,
2016-04-27,853.7374877929688,
2016-04-28,854.7734985351562,
2016-04-29,853.2734985351562,
2016-05-02,838.2945556640625,
2016-05-03,810.6937255859375,
2016-05-04,793.82177734375,
2016-05-05,786.9838256835938,
2016-05-06,783.6768798828125,
2016-05-09,790.6167602539062,
2016-05-10,788.0198364257812,
2016-05-11,790.2738037109375,
2016-05-12,783.037841796875,
2016-05-13,778.079833984375,
2016-05-16,769.992919921875,
2016-05-17,772.7678833007812,
2016-05-18,772.4349365234375,
2016-05-20,763.572998046875,
2016-05-23,767.6549072265625,
2016-05-24,794.341796875,
2016-05-25,786.0868530273438,
2016-05-26,780.3518676757812,
2016-05-27,780.2848510742188,
2016-05-30,785.3478393554688,
2016-05-31,778.0298461914062,
2016-06-01,770.3449096679688,
2016-06-02,762.7169799804688,
2016-06-03,781.390869140625,
2016-06-06,785.923828125,
2016-06-07,781.5718383789062,
2016-06-08,788.3228149414062,
2016-06-09,777.1128540039062,
2016-06-10,768.868896484375,
2016-06-13,765.337890625,
2016-06-14,757.5909423828125,
2016-06-15,762.3699951171875,
2016-06-16,746.7130126953125,
2016-06-17,754.3009643554688,
2016-06-20,775.2269287109375,
2016-06-21,775.3099365234375,
2016-06-22,772.6708984375,
2016-06-23,779.8948364257812,
2016-06-24,753.6559448242188,
2016-06-27,751.6080322265625,
2016-06-28,769.2889404296875,
2016-06-29,767.1159057617188,
2016-06-30,768.1679077148438,
2016-07-01,779.516845703125,
2016-07-04,783.8728637695312,
2016-07-08,780.1908569335938,
2016-07-11,792.3457641601562,
2016-07-12,811.4116821289062,
2016-07-13,813.212646484375,
2016-07-14,825.8936157226562,
2016-07-15,828.2496337890625,
2016-07-18,769.5718994140625,
2016-07-19,761.7739868164062,
2016-07-20,749.0240478515625,
2016-07-21,715.9462280273438,
2016-07-22,717.3801879882812,
2016-07-25,741.736083984375,
2016-07-26,736.8900756835938,
2016-07-27,750.7530517578125,
2016-07-28,752.43701171875,
2016-07-29,754.0509643554688,
2016-08-01,767.1129150390625,
2016-08-02,758.0349731445312,
2016-08-03,745.5180053710938,
2016-08-04,761.251953125,
2016-08-05,760.6529541015625,
2016-08-08,777.786865234375,
2016-08-09,785.244873046875,
2016-08-10,779.5528564453125,
2016-08-11,790.331787109375,
2016-08-12,782.2818603515625,
2016-08-15,784.7218627929688,
2016-08-16,777.0668334960938,
2016-08-17,781.473876953125,
2016-08-18,779.704833984375,
2016-08-19,781.4518432617188,
2016-08-22,779.5288696289062,
2016-08-23,773.3319091796875,
2016-08-24,761.1589965820312,
2016-08-25,767.8948974609375,
2016-08-26,771.1929321289062,
2016-08-29,761.1839599609375,
2016-08-31,759.6719970703125,
2016-09-01,758.5239868164062,
2016-09-02,768.8389282226562,
2016-09-05,777.911865234375,
2016-09-06,779.94384765625,
2016-09-07,776.4279174804688,
2016-09-08,778.4308471679688,
2016-09-09,770.5308837890625,
2016-09-16,760.198974609375,
2016-09-19,776.703857421875,
2016-09-20,773.1309204101562,
2016-09-21,779.1548461914062,
2016-09-22,797.9547729492188,
2016-09-23,797.559814453125,
2016-09-26,767.2529296875,
2016-09-27,771.6029052734375,
2016-09-28,776.7738647460938,
2016-09-29,770.763916015625,
2016-09-30,764.8799438476562,
2016-10-03,772.2499389648438,
2016-10-04,770.5739135742188,
2016-10-05,778.5328369140625,
2016-10-06,778.94287109375,
2016-10-07,779.755859375,
2016-10-10,778.348876953125,
2016-10-11,776.431884765625,
2016-10-12,774.60888671875,
2016-10-13,768.0989379882812,
2016-10-14,775.5379028320312,
2016-10-17,774.3718872070312,
2016-10-18,783.3998413085938,
2016-10-19,792.0947875976562,
2016-10-20,792.519775390625,
2016-10-21,788.4328002929688,
2016-10-24,799.32177734375,
2016-10-25,794.3287963867188,
2016-10-26,793.9747924804688,
2016-10-27,787.3878784179688,
2016-10-28,783.3248291015625,
2016-10-31,785.3578491210938,
2016-11-01,774.2819213867188,
2016-11-02,771.7119140625,
2016-11-03,766.8099365234375,
2016-11-04,742.6680297851562,
2016-11-07,756.8159790039062,
2016-11-08,763.6739501953125,
2016-11-09,762.0859985351562,
2016-11-10,763.5999755859375,
2016-11-11,751.738037109375,
2016-11-14,744.18701171875,
2016-11-15,751.5020141601562,
2016-11-16,747.5870361328125,
2016-11-17,751.3580322265625,
2016-11-18,756.385986328125,
2016-11-21,755.4319458007812,
2016-11-22,758.115966796875,
2016-11-23,750.3650512695312,
2016-11-24,741.9271240234375,
2016-11-25,743.6310424804688,
2016-11-28,749.8980102539062,
2016-11-29,742.0510864257812,
2016-11-30,739.9481201171875,
2016-12-01,725.1951293945312,
2016-12-02,733.9050903320312,
2016-12-05,735.9931030273438,
2016-12-06,754.3289794921875,
2016-12-07,760.303955078125,
